access_table,web_entity,access_column,crm_field,type,direction,decision,conflict_rule,cursor_column,notes
tbl_Property,property / project master,PROPERTY_ID,property_id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_Property,property / project master,PROPERTY_NAME,property_name,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,LOCATION,location,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,VIRTUAL_ACCOUNT_SETUP,virtual_account_setup,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,BANK_NAME,bank_name,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,IFSC_CODE,ifsc_code,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,ACCOUNT_NUMBER,account_number,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,BRANCH,branch,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,VIRTUAL_ACCOUNT_PREFIX,virtual_account_prefix,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,ISACTIVE,isactive,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,CREATED_BY,created_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property,property / project master,MODIFIED_BY,modified_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property,property / project master,CREATED_DATE,created_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property,property / project master,MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property,property / project master,STATE,state,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,CODE,code,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,PROPERTY_CODE,property_code,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,OCCUPANCY_CERTIFICATE_DATE,occupancy_certificate_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,EAST_FACING_CHARGE_PER_SFT,east_facing_charge_per_sft,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Property,property / project master,PLC_CHARGES_PER_SFT,plc_charges_per_sft,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Block,block master,ID,id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_Block,block master,BLOCK_NAME,block_name,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Block,block master,IS_ACTIVE,is_active,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Block,block master,MODIFIED_BY,modified_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Block,block master,MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Block,block master,CREATED_BY,created_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Block,block master,CREATED_DATE,created_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyBlock,project<->block map,ID,id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_PropertyBlock,project<->block map,PROPERTY_ID,property_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyBlock,project<->block map,BLOCK_ID,block_id,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyBlock,project<->block map,IS_ACTIVE,is_active,bool,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_PropertyBlock,project<->block map,MODIFIED_BY,modified_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyBlock,project<->block map,MODIFIED_DATE,modified_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyBlock,project<->block map,CREATED_BY,created_by,int,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_PropertyBlock,project<->block map,CREATED_DATE,created_date,datetime,access->web,no,newest-wins,MODIFIED_DATE,"audit column, Access-local"
tbl_Property_Status,unit status master,PROPERTY_STATUS_ID,property_status_id,int,access->web,key,newest-wins,,unique key
tbl_Property_Status,unit status master,PROPERTY_STATUS,property_status,str,access->web,no,newest-wins,,web-origin; inbound disabled (web wins)
tbl_Property_Status,unit status master,ISACTIVE,isactive,bool,access->web,no,newest-wins,,web-origin; inbound disabled (web wins)
tbl_Property_Status,unit status master,SEQ,seq,str,access->web,no,newest-wins,,web-origin; inbound disabled (web wins)
tbl_Property_Type,unit type master,PROPERTY_TYPE_ID,property_type_id,int,access->web,key,newest-wins,,unique key
tbl_Property_Type,unit type master,PROPERTY_TYPE,property_type,str,access->web,no,newest-wins,,web-origin; inbound disabled (web wins)
tbl_Property_Type,unit type master,ISACTIVE,isactive,bool,access->web,no,newest-wins,,web-origin; inbound disabled (web wins)
tbl_Customer,customer,CUSTOMER_ID,customer_id,int,access->web,key,newest-wins,MODIFIED_DATE,unique key
tbl_Customer,customer,CUSTOMER_NAME_PREFIX_1ST,customer_name_prefix_1st,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,SALUTATION_1,salutation_1,int,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,CUSTOMER_NAME_1ST,customer_name_1st,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
tbl_Customer,customer,RELATED_PERSON_1ST,related_person_1st,str,access->web,no,newest-wins,MODIFIED_DATE,web-origin; inbound disabled (web wins)
